title,category,description,price,price_currency,search_text
Кисть малярная плоская синтетическая 8см,Кисти,"Кисть малярная плоская синтетическая для нанесения клея, очень удобная и качественная, ширина 8 см",477,RUB,"Кисть малярная плоская синтетическая 8см Кисти Кисть малярная плоская синтетическая для нанесения клея, очень удобная и качественная, ширина 8 см"
Кисть малярная из щетины 6см,Кисти,"Кисть малярная из натуральной щетины для точной работы, идеальна для углов и стыков, ширина 6 см",730,RUB,"Кисть малярная из щетины 6см Кисти Кисть малярная из натуральной щетины для точной работы, идеальна для углов и стыков, ширина 6 см"
Кисть малярная для краски синтетическая 10см,Кисти,"Кисть малярная синтетическая для покраски стен, очень качественная, не оставляет следов, ширина 10 см",289,RUB,"Кисть малярная для краски синтетическая 10см Кисти Кисть малярная синтетическая для покраски стен, очень качественная, не оставляет следов, ширина 10 см"
Кисть малярная для краски из щетины 12см,Кисти,"Кисть малярная из натуральной щетины для покраски, очень качественная и долговечная, ширина 12 см",800,RUB,"Кисть малярная для краски из щетины 12см Кисти Кисть малярная из натуральной щетины для покраски, очень качественная и долговечная, ширина 12 см"
Валик для нанесения клея 25см с коротким ворсом,Валики,"Валик для нанесения клея с коротким ворсом, очень удобный и качественный, равномерно распределяет клей на обоях и стенах, ширина 25 см, ручка в комплекте",597,RUB,"Валик для нанесения клея 25см с коротким ворсом Валики Валик для нанесения клея с коротким ворсом, очень удобный и качественный, равномерно распределяет клей на обоях и стенах, ширина 25 см, ручка в комплекте"
Валик для нанесения клея 30см с коротким ворсом,Валики,"Валик для нанесения клея широкий с коротким ворсом, для быстрой работы на больших поверхностях, равномерно распределяет клей, ширина 30 см",583,RUB,"Валик для нанесения клея 30см с коротким ворсом Валики Валик для нанесения клея широкий с коротким ворсом, для быстрой работы на больших поверхностях, равномерно распределяет клей, ширина 30 см"
Валик для нанесения клея 20см с коротким ворсом,Валики,"Валик для нанесения клея узкий с коротким ворсом, удобен для работы в узких местах и на небольших участках, ширина 20 см",777,RUB,"Валик для нанесения клея 20см с коротким ворсом Валики Валик для нанесения клея узкий с коротким ворсом, удобен для работы в узких местах и на небольших участках, ширина 20 см"
Валик для нанесения клея 25см со средним ворсом,Валики,"Валик для нанесения клея со средним ворсом, подходит для более густого клея, равномерно распределяет состав, ширина 25 см",1136,RUB,"Валик для нанесения клея 25см со средним ворсом Валики Валик для нанесения клея со средним ворсом, подходит для более густого клея, равномерно распределяет состав, ширина 25 см"
Валик резиновый для разглаживания обоев 15см,Валики,"Резиновый валик для разглаживания обоев после поклейки, удаляет пузыри воздуха и обеспечивает плотное прилегание, ширина 15 см, удобная ручка",293,RUB,"Валик резиновый для разглаживания обоев 15см Валики Резиновый валик для разглаживания обоев после поклейки, удаляет пузыри воздуха и обеспечивает плотное прилегание, ширина 15 см, удобная ручка"
Валик резиновый для разглаживания обоев 20см,Валики,"Резиновый валик для разглаживания обоев широкий, для быстрой работы на больших участках, очень эффективно удаляет пузыри, ширина 20 см",558,RUB,"Валик резиновый для разглаживания обоев 20см Валики Резиновый валик для разглаживания обоев широкий, для быстрой работы на больших участках, очень эффективно удаляет пузыри, ширина 20 см"
Валик резиновый для разглаживания обоев 10см,Валики,"Резиновый валик для разглаживания обоев узкий, идеален для работы в углах и узких местах, очень удобный, ширина 10 см",419,RUB,"Валик резиновый для разглаживания обоев 10см Валики Резиновый валик для разглаживания обоев узкий, идеален для работы в углах и узких местах, очень удобный, ширина 10 см"
Валик поролоновый для нанесения клея 25см,Валики,"Валик поролоновый для нанесения клея, очень мягкий и равномерно распределяет клей, идеален для работы с обоями, ширина 25 см",373,RUB,"Валик поролоновый для нанесения клея 25см Валики Валик поролоновый для нанесения клея, очень мягкий и равномерно распределяет клей, идеален для работы с обоями, ширина 25 см"
Валик велюровый для нанесения клея 25см,Валики,"Валик велюровый для нанесения клея, создает очень тонкий и равномерный слой клея, идеален для деликатных обоев, ширина 25 см",306,RUB,"Валик велюровый для нанесения клея 25см Валики Валик велюровый для нанесения клея, создает очень тонкий и равномерный слой клея, идеален для деликатных обоев, ширина 25 см"
Валик меховой для нанесения клея 25см,Валики,"Валик меховой для нанесения клея, очень качественный и долговечный, равномерно распределяет клей, ширина 25 см",1010,RUB,"Валик меховой для нанесения клея 25см Валики Валик меховой для нанесения клея, очень качественный и долговечный, равномерно распределяет клей, ширина 25 см"
Валик игольчатый для удаления пузырей,Валики,"Валик игольчатый для удаления пузырей воздуха из-под обоев, прокалывает обои и выпускает воздух, очень эффективный инструмент",441,RUB,"Валик игольчатый для удаления пузырей Валики Валик игольчатый для удаления пузырей воздуха из-под обоев, прокалывает обои и выпускает воздух, очень эффективный инструмент"
Валик для краски с коротким ворсом 25см,Валики,"Валик для покраски стен с коротким ворсом, идеален для гладких поверхностей, равномерно распределяет краску, ширина 25 см",619,RUB,"Валик для краски с коротким ворсом 25см Валики Валик для покраски стен с коротким ворсом, идеален для гладких поверхностей, равномерно распределяет краску, ширина 25 см"
Валик для краски со средним ворсом 25см,Валики,"Валик для покраски со средним ворсом, подходит для фактурных поверхностей, равномерно распределяет краску, ширина 25 см",205,RUB,"Валик для краски со средним ворсом 25см Валики Валик для покраски со средним ворсом, подходит для фактурных поверхностей, равномерно распределяет краску, ширина 25 см"
Валик для краски с длинным ворсом 25см,Валики,"Валик для покраски с длинным ворсом, идеален для неровных поверхностей, создает равномерное покрытие, ширина 25 см",461,RUB,"Валик для краски с длинным ворсом 25см Валики Валик для покраски с длинным ворсом, идеален для неровных поверхностей, создает равномерное покрытие, ширина 25 см"
Валик меховой для краски 20см,Валики,"Валик меховой для покраски стен, очень качественный, равномерно распределяет краску, ширина 20 см",1128,RUB,"Валик меховой для краски 20см Валики Валик меховой для покраски стен, очень качественный, равномерно распределяет краску, ширина 20 см"
Валик поролоновый для краски 25см,Валики,"Валик поролоновый для покраски, создает гладкое покрытие, идеален для водоэмульсионной краски, ширина 25 см",386,RUB,"Валик поролоновый для краски 25см Валики Валик поролоновый для покраски, создает гладкое покрытие, идеален для водоэмульсионной краски, ширина 25 см"
Шпатель металлический 15см,Инструменты,"Металлический шпатель для разглаживания обоев и удаления пузырей воздуха, очень прочный, идеальная геометрия, удобная ручка",786,RUB,"Шпатель металлический 15см Инструменты Металлический шпатель для разглаживания обоев и удаления пузырей воздуха, очень прочный, идеальная геометрия, удобная ручка"
Шпатель металлический 20см,Инструменты,"Металлический шпатель широкий для разглаживания обоев, очень удобен для больших участков, прочный и качественный",3592,RUB,"Шпатель металлический 20см Инструменты Металлический шпатель широкий для разглаживания обоев, очень удобен для больших участков, прочный и качественный"
Шпатель металлический 10см,Инструменты,"Металлический шпатель узкий для работы в углах и узких местах, очень удобный для точной работы с обоями",2189,RUB,"Шпатель металлический 10см Инструменты Металлический шпатель узкий для работы в углах и узких местах, очень удобный для точной работы с обоями"
Шпатель пластиковый 15см,Инструменты,"Пластиковый шпатель для разглаживания обоев, не оставляет царапин, идеален для деликатных обоев, очень легкий",2871,RUB,"Шпатель пластиковый 15см Инструменты Пластиковый шпатель для разглаживания обоев, не оставляет царапин, идеален для деликатных обоев, очень легкий"
Нож для обоев со сменными лезвиями,Инструменты,"Нож для обоев с острым лезвием, идеален для подрезки обоев по краям и в углах, безопасный механизм смены лезвий, удобная ручка",489,RUB,"Нож для обоев со сменными лезвиями Инструменты Нож для обоев с острым лезвием, идеален для подрезки обоев по краям и в углах, безопасный механизм смены лезвий, удобная ручка"
Нож для обоев канцелярский,Инструменты,"Канцелярский нож для обоев, очень острый, идеален для точной подрезки, удобная ручка, сменные лезвия",3924,RUB,"Нож для обоев канцелярский Инструменты Канцелярский нож для обоев, очень острый, идеален для точной подрезки, удобная ручка, сменные лезвия"
Нож для обоев строительный,Инструменты,"Строительный нож для обоев, очень прочный и надежный, идеален для подрезки толстых обоев, удобная ручка",4931,RUB,"Нож для обоев строительный Инструменты Строительный нож для обоев, очень прочный и надежный, идеален для подрезки толстых обоев, удобная ручка"
Линейка металлическая 1м,Инструменты,"Металлическая линейка для разметки и подрезки обоев, очень точная и прочная, не гнется, удобна для работы с обоями",4599,RUB,"Линейка металлическая 1м Инструменты Металлическая линейка для разметки и подрезки обоев, очень точная и прочная, не гнется, удобна для работы с обоями"
Линейка металлическая 50см,Инструменты,"Металлическая линейка для разметки обоев среднего размера, очень точная и удобная, идеальна для небольших участков",1430,RUB,"Линейка металлическая 50см Инструменты Металлическая линейка для разметки обоев среднего размера, очень точная и удобная, идеальна для небольших участков"
